epoch,train_nll,train_accuracy,selection_nll,selection_accuracy,seconds
1,1.3787059505476762,0.4890217342993022,1.1396647691586843,0.5515793682526989,48.61839706078172
2,0.9538432943105136,0.6466842970798702,0.9122629234963627,0.6587365053978409,49.06343215331435
3,0.8681561679271884,0.6800857815902929,0.888345039673817,0.6641343462614954,49.587097657844424
4,0.8213383913665375,0.6988532823681053,0.8123434642366862,0.7003198720511795,47.62836621981114
5,0.7737943816833525,0.7188763945064225,0.7267591954918033,0.7323070771691323,47.4660822711885
6,0.7371623176453649,0.732510333792613,0.737768728239423,0.7289084366253499,47.26421992573887
7,0.7108729237360162,0.7438330592470777,0.6749401565413422,0.758296681327469,48.57354117743671
8,0.6850475700883167,0.7518223032134762,0.6508063232777848,0.7684926029588165,47.31896473094821
9,0.6583741354547059,0.7616671852082315,0.6421498403530322,0.7698920431827269,47.32072161696851
10,0.6428513853034632,0.7680674696653185,0.6338591144381522,0.7682926829268293,46.998323725536466
11,0.6226784781570609,0.774801102271212,0.6710803475416688,0.7602958816473411,47.312896142713726
12,0.6123614870149234,0.779890217342993,0.5790657436108084,0.7946821271491403,47.898001078516245
13,0.6065109946302925,0.780901373394373,0.5921627134001353,0.7838864454218313,47.81842906028032
14,0.5893572872466758,0.7883350371127605,0.5931529914191959,0.7856857257097161,46.79115583281964
15,0.5703923055832002,0.7945797591004045,0.5621972031348804,0.7978808476609356,48.313833029940724
