epoch,train_nll,train_accuracy,selection_nll,selection_accuracy,seconds
1,1.4008549947866658,0.4810324903329037,1.1476593185238113,0.5787684926029588,46.046013108454645
2,0.9930303051125299,0.6326725632250322,0.8948437843524539,0.6701319472211116,46.62223574426025
3,0.8658254858737384,0.6831970309791546,0.8232725955372056,0.6945221911235506,46.5706889834255
4,0.7919167868375429,0.7150651140050669,0.7471183461858346,0.7291083566573371,47.918212932534516
5,0.7457762052707765,0.7297546557624783,0.7828524791432706,0.7135145941623351,47.94516842998564
6,0.7029236819252522,0.7457109204853549,0.6540390755982037,0.7566973210715714,46.786543702706695
7,0.6758308716284243,0.7555335792701898,0.6297454164269481,0.7688924430227909,46.83068430703133
8,0.6552112251871177,0.7620227565669585,0.6584153135670048,0.759296281487405,47.07744847051799
9,0.6281209622729041,0.7722676563402818,0.5927150869407098,0.7882846861255498,46.41923843882978
10,0.61402117149518,0.7778123472154318,0.6583393710285483,0.7596961215513794,48.0642331475392
11,0.5970282231581423,0.7838348371038713,0.5780366079977521,0.795281887245102,47.752927268855274
12,0.5871020876236441,0.787957242544113,0.5497904125551709,0.8064774090363854,46.52653255965561
13,0.5724921589960251,0.7939130628027913,0.5742573491551429,0.7880847660935626,46.31669526360929
14,0.5513913420747294,0.801213387261656,0.5407490742879175,0.8086765293882447,45.511760785244405
15,0.5497421907596554,0.7998911062713898,0.6353098881918531,0.7736905237904838,46.50457826722413
