lower,upper,count,confidence,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,5,0.2512845725034599,0.2
0.26666666666666666,0.3333333333333333,49,0.30898226541822055,0.20408163265306123
0.3333333333333333,0.4,150,0.3721561823313019,0.38666666666666666
0.4,0.4666666666666667,289,0.4373554103170664,0.3771626297577855
0.4666666666666667,0.5333333333333333,440,0.500536771938994,0.43636363636363634
0.5333333333333333,0.6,436,0.5682098453279557,0.5389908256880734
0.6,0.6666666666666666,476,0.632399861111867,0.5987394957983193
0.6666666666666666,0.7333333333333333,450,0.7008726710120788,0.6444444444444445
0.7333333333333333,0.8,547,0.7668962279750321,0.7404021937842779
0.8,0.8666666666666667,652,0.8337141533424791,0.7898773006134969
0.8666666666666667,0.9333333333333333,1059,0.9033685245429444,0.8186968838526912
0.9333333333333333,1.0,2627,0.9798413712829614,0.9231062047963456
