lower,upper,count,confidence,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,74,0.18964181063653207,0.2702702702702703
0.2,0.26666666666666666,835,0.2391665250288165,0.2502994011976048
0.26666666666666666,0.3333333333333333,1410,0.3013332518840527,0.32056737588652484
0.3333333333333333,0.4,1209,0.36455134330661687,0.39619520264681557
0.4,0.4666666666666667,841,0.4312355840166702,0.45422116527942924
0.4666666666666667,0.5333333333333333,507,0.4971980124136985,0.514792899408284
0.5333333333333333,0.6,332,0.5630399522153035,0.5843373493975904
0.6,0.6666666666666666,231,0.6292248344311406,0.6796536796536796
0.6666666666666666,0.7333333333333333,182,0.70207101370424,0.9230769230769231
0.7333333333333333,0.8,172,0.7671387739424648,0.8837209302325582
0.8,0.8666666666666667,183,0.8355041742454541,0.9234972677595629
0.8666666666666667,0.9333333333333333,333,0.9059892051889004,0.8558558558558559
0.9333333333333333,1.0,871,0.9626495727194655,0.9942594718714122
