lower,upper,count,confidence,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,7,0.23617756060600387,0.42857142857142855
0.26666666666666666,0.3333333333333333,41,0.3135046650640776,0.34146341463414637
0.3333333333333333,0.4,154,0.37047225445590404,0.38311688311688313
0.4,0.4666666666666667,305,0.43624161966581754,0.4491803278688525
0.4666666666666667,0.5333333333333333,472,0.5002971400794849,0.4724576271186441
0.5333333333333333,0.6,444,0.5671776869136043,0.5698198198198198
0.6,0.6666666666666666,422,0.6340950096607298,0.6658767772511849
0.6666666666666666,0.7333333333333333,404,0.7011251316861735,0.693069306930693
0.7333333333333333,0.8,501,0.7681727196710881,0.7924151696606786
0.8,0.8666666666666667,634,0.8356848619926518,0.8580441640378549
0.8666666666666667,0.9333333333333333,884,0.9039305746406929,0.9106334841628959
0.9333333333333333,1.0,2912,0.9811971561928522,0.8973214285714286
