model,kind,seed,temperature,training_seconds,parameters,examples,accuracy,macro_f1,nll,brier,ece,mean_confidence,aurc
logistic,logistic,,1.0,241.20095743611455,21177,7180,0.5284122562674095,0.4353482524860166,1.2443774503549978,0.5770005006812805,0.034570452513765663,0.4984920559341183,0.24227848502187938
cnn-seed-0,cnn_raw,0,1.0,718.4583602920175,106089,7180,0.7811977715877437,0.7048519731464603,0.7619702886365208,0.33183902262688153,0.0439915343549814,0.8098081654088952,0.11238875472642991
cnn-seed-0-calibrated,cnn_calibrated,0,0.957849670977952,718.4583602920175,106089,7180,0.7811977715877437,0.7048519731464603,0.7732379311106312,0.3320279642446567,0.042444999119696084,0.8179724751617407,0.11226054939020043
cnn-seed-1,cnn_raw,1,1.0,718.0304560242221,106089,7180,0.791782729805014,0.7279586008874369,0.7306691094895389,0.3057061377480048,0.022458297740001756,0.7810443901561593,0.07575364450869343
cnn-seed-1-calibrated,cnn_calibrated,1,0.9339486811940325,718.0304560242221,106089,7180,0.791782729805014,0.7279586008874369,0.7412854003480343,0.30493579397951187,0.016629833007345256,0.7959886547440165,0.07533890612789704
cnn-seed-2,cnn_raw,2,1.0,702.9440863160416,106089,7180,0.750974930362117,0.6901673627299177,0.9078465006145128,0.3649431507381291,0.042013606881718873,0.7886583596729226,0.10938472411274905
cnn-seed-2-calibrated,cnn_calibrated,2,0.9278488273589068,702.9440863160416,106089,7180,0.750974930362117,0.6901673627299177,0.9347497790207753,0.36683423964583783,0.05419832349494901,0.8045669662107414,0.1086817094230547
