rank,index,target,prediction,confidence,other_confidence
1,885,8,1,0.943647885876222,
2,5094,5,8,0.9398888517041104,
3,3241,5,8,0.9392031072250037,
4,6979,5,8,0.935787360660807,
5,731,4,1,0.9350919429340327,
6,988,5,8,0.9328954184951751,
7,3033,5,8,0.9328525558826563,
8,491,5,8,0.929692672574691,
9,3152,5,8,0.9290199934237582,
10,6095,5,8,0.9280693180097443,
