model,n,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,brier_mean,brier_std,ece_mean,ece_std,aurc_mean,aurc_std
logistic,1,0.5284122562674095,,0.4353482524860166,,1.2443774503549978,,0.5770005006812805,,0.034570452513765663,,0.24227848502187938,
cnn_raw,3,0.7746518105849582,0.021176787478992553,0.707659312254605,0.019051385383238462,0.8001619662468574,0.09456167384560148,0.3341627703710051,0.029686794702051926,0.03615447965890067,0.011902398860694089,0.09917570778262412,0.020339637066280038
cnn_calibrated,3,0.7746518105849582,0.021176787478992553,0.707659312254605,0.019051385383238462,0.8164243701598135,0.10371074120899432,0.3345993326233354,0.031029233723714942,0.037757718540663454,0.01921785156564661,0.0987603883137174,0.020362376941632697
