lower,upper,count,confidence,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,3,0.25726950227246853,0.0
0.26666666666666666,0.3333333333333333,49,0.30906244549689643,0.24489795918367346
0.3333333333333333,0.4,174,0.3731299886279611,0.41954022988505746
0.4,0.4666666666666667,349,0.4356653158704548,0.46418338108882523
0.4666666666666667,0.5333333333333333,496,0.5007980995709858,0.5221774193548387
0.5333333333333333,0.6,478,0.5672409137644282,0.6108786610878661
0.6,0.6666666666666666,543,0.632103528622177,0.6519337016574586
0.6666666666666666,0.7333333333333333,538,0.700857789386083,0.7026022304832714
0.7333333333333333,0.8,650,0.7670149049249533,0.803076923076923
0.8,0.8666666666666667,766,0.8343883673491822,0.8577023498694517
0.8666666666666667,0.9333333333333333,965,0.9018863834456975,0.9191709844559586
0.9333333333333333,1.0,2169,0.9807094426975809,0.963116643614569
