lower,upper,count,confidence,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,2,0.25708706617591404,0.0
0.26666666666666666,0.3333333333333333,36,0.3069361994160222,0.2222222222222222
0.3333333333333333,0.4,150,0.3724480951384566,0.42
0.4,0.4666666666666667,312,0.43586595438615244,0.4391025641025641
0.4666666666666667,0.5333333333333333,446,0.5004827748105345,0.5224215246636771
0.5333333333333333,0.6,452,0.5654702058407657,0.5663716814159292
0.6,0.6666666666666666,522,0.633826791787241,0.6532567049808429
0.6666666666666666,0.7333333333333333,498,0.700130680438918,0.6746987951807228
0.7333333333333333,0.8,617,0.7671934574686261,0.7585089141004863
0.8,0.8666666666666667,733,0.8343273834981537,0.8512960436562074
0.8666666666666667,0.9333333333333333,988,0.9021390384339983,0.9058704453441295
0.9333333333333333,1.0,2424,0.9806984536300892,0.9587458745874587
