lower,upper,count,confidence,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,9,0.25232216836958626,0.2222222222222222
0.26666666666666666,0.3333333333333333,62,0.31030028032706547,0.24193548387096775
0.3333333333333333,0.4,169,0.37186402569541244,0.4260355029585799
0.4,0.4666666666666667,346,0.43668914697196304,0.3554913294797688
0.4666666666666667,0.5333333333333333,464,0.5004451156128935,0.46551724137931033
0.5333333333333333,0.6,485,0.5686128481959949,0.5649484536082474
0.6,0.6666666666666666,477,0.6323782685764467,0.6079664570230608
0.6666666666666666,0.7333333333333333,500,0.7012192843557933,0.714
0.7333333333333333,0.8,569,0.7677292609537244,0.7469244288224957
0.8,0.8666666666666667,684,0.8334391522973734,0.8011695906432749
0.8666666666666667,0.9333333333333333,1106,0.9018962363984918,0.833634719710669
0.9333333333333333,1.0,2309,0.979849559091403,0.9302728453876137
