epoch,train_nll,train_accuracy,selection_nll,selection_accuracy,seconds
1,1.3437744847424449,0.5005111338281701,1.0149607002707448,0.6217512994802079,46.11183244828135
2,0.9472074230605588,0.6491399617760789,0.8973733116454249,0.6737305077968813,47.767921757884324
3,0.8224423863611315,0.6951197831014712,0.8428063526974382,0.6727309076369452,48.87196282017976
4,0.7461487174648737,0.7286546068714165,0.6934674614859403,0.7502998800479808,47.84263615589589
5,0.6939566331315801,0.7472887683897063,0.8142481527198752,0.7089164334266294,47.949586033821106
6,0.6675812894065908,0.7564780656918085,0.6295435313914631,0.7726909236305478,48.26092690229416
7,0.6348944812611721,0.7688563936174941,0.662576525321993,0.7574970011995202,47.576282074674964
8,0.6136684453727415,0.7756011378283479,0.5981017466233352,0.7714914034386245,48.2041912637651
9,0.5982453123352952,0.7803680163562825,0.6191894872847176,0.7792882846861255,48.47717542946339
10,0.5841488872317665,0.7864016178496822,0.5708038873107061,0.7872850859656138,49.95783799607307
11,0.5664783586072436,0.7922240988488377,0.5676350220267189,0.790483806477409,47.68936236016452
12,0.5520426033231872,0.7967576336726077,0.5823401233949288,0.7822870851659336,48.50347813870758
13,0.5347868903495825,0.8015800702253434,0.5183190742339048,0.8054778088764494,46.73441496863961
14,0.5342305900096956,0.8038912840570692,0.5484224149658021,0.796281487405038,46.99968751426786
15,0.5193970382923582,0.8083248144361972,0.5847324157753087,0.7836865253898441,47.46180172543973
